date,symbol,action,price,pnl_pct,reason
2015-07-08,AAPL,SELL,27.368331909179688,,
2015-08-24,AAPL,EXIT,23.129610061645508,15.487687965785224,TAKE PROFIT (15.5%)
2017-08-02,AAPL,BUY,36.491519927978516,,
2016-02-04,GOOGL,SELL,36.20228576660156,,
2016-07-29,GOOGL,EXIT,39.24265670776367,-8.398284464035155,STOP LOSS (-8.4%)
2016-08-01,GOOGL,BUY,39.71872329711914,,
2017-04-28,GOOGL,EXIT,45.847076416015625,15.429380932143363,TAKE PROFIT (15.4%)
2015-08-24,TSLA,SELL,14.591333389282227,,
2015-08-27,TSLA,EXIT,16.19933319091797,-11.020238923585053,STOP LOSS (-11.0%)
2017-08-03,TSLA,SELL,23.139333724975586,,
2017-09-14,TSLA,EXIT,25.176000595092773,-8.801752437318013,STOP LOSS (-8.8%)
