date,symbol,action,price,pnl_pct,commission,reason
2018-06-08,AAPL,BUY,45.24530809020996,,0.02262265404510498,
2018-08-29,AAPL,EXIT,52.7281923034668,16.63178096866444,,TAKE PROFIT (16.6%)
2018-09-10,AAPL,BUY,51.71128453674316,,0.02585564226837158,
2018-11-12,AAPL,EXIT,46.07569309387207,-10.826846454306587,,STOP LOSS (-10.8%)
2019-03-07,AAPL,BUY,41.17488516540527,,0.020587442582702637,
2019-04-08,AAPL,EXIT,47.68650210876465,15.907261580770236,,TAKE PROFIT (15.9%)
2019-04-30,AAPL,BUY,47.89891472167968,,0.02394945736083984,
2019-05-20,AAPL,EXIT,43.80081157531738,-8.482518791390659,,STOP LOSS (-8.5%)
2019-08-01,AAPL,BUY,49.942773385620114,,0.012485693346405029,
2019-10-21,AAPL,EXIT,57.756076718139646,15.737101996103625,,TAKE PROFIT (15.7%)
2019-12-02,AAPL,BUY,63.727741213989255,,0.03186387060699463,
2020-01-09,AAPL,EXIT,74.57778695068359,17.11931966585702,,TAKE PROFIT (17.1%)
2020-01-31,AAPL,BUY,74.66827604370117,,0.018667069010925293,
2020-02-27,AAPL,EXIT,66.03665169677734,-11.489153336352091,,STOP LOSS (-11.5%)
2020-03-09,AAPL,SELL,64.26211726074219,,0.016065529315185546,
2020-03-23,AAPL,EXIT,54.256974856567375,15.636760374050365,,TAKE PROFIT (15.6%)
2020-07-23,AAPL,BUY,90.04994104614256,,0.022512485261535643,
2020-08-03,AAPL,EXIT,105.48904278564453,17.23883476260918,,TAKE PROFIT (17.2%)
2020-09-04,AAPL,BUY,117.53006033935546,,0.029382515084838867,
2020-09-17,AAPL,EXIT,107.03978026733398,-8.85269662710789,,STOP LOSS (-8.9%)
2021-01-06,AAPL,BUY,123.22235467529296,,0.03080558866882324,
2021-03-08,AAPL,EXIT,113.24344678344727,-8.02471323214261,,STOP LOSS (-8.0%)
2021-04-30,AAPL,BUY,128.1439065673828,,0.0320359766418457,
2021-08-16,AAPL,EXIT,147.54303439941407,15.230733388350723,,TAKE PROFIT (15.2%)
2021-08-18,AAPL,BUY,143.12447885742185,,0.035781119714355464,
2021-12-07,AAPL,EXIT,167.37206813964843,17.035236973623185,,TAKE PROFIT (17.0%)
2022-01-28,AAPL,BUY,166.8076405883789,,0.04170191014709472,
