date,symbol,action,price,qty,risk_mult,pnl_pct,reason
2018-10-16,AAPL,BUY,52.61605287780761,15.0,1.0,,
2018-10-16,MSFT,BUY,103.25712310180663,15.0,1.0,,
2018-10-24,MSFT,EXIT,95.03041351928711,,,-7.893522634277521,STOP LOSS
2018-10-25,MSFT,BUY,100.74544892578125,15.0,1.0,,
2018-11-05,AAPL,EXIT,47.67009678649902,,,-9.327551597206222,STOP LOSS
2018-12-17,TSLA,BUY,23.246583041381832,15.0,1.0,,
2018-12-20,TSLA,EXIT,21.00851313781738,,,-9.555166163073144,STOP LOSS
2018-12-21,MSFT,EXIT,91.62592798461914,,,-8.979225967710695,STOP LOSS
2019-01-09,MSFT,BUY,97.41560822753905,15.0,1.0,,
2019-03-21,MSFT,EXIT,112.61644634399414,,,15.696666770324608,TAKE PROFIT
2019-04-30,AAPL,BUY,47.89891472167968,15.0,1.0,,
2019-04-30,GOOGL,BUY,59.50416165161132,15.0,1.0,,
2019-05-07,MSFT,BUY,117.76948665161132,15.0,1.0,,
2019-05-13,AAPL,EXIT,44.42999989929199,,,-7.167891766340941,STOP LOSS
2019-05-31,GOOGL,EXIT,54.827597097778316,,,-7.785451016891994,STOP LOSS
2019-06-07,AAPL,BUY,45.56262030029296,15.0,1.0,,
2019-08-05,GOOGL,BUY,57.31002875061035,15.0,1.0,,
2019-09-11,AAPL,EXIT,53.692900723266604,,,17.938540585798876,TAKE PROFIT
2019-10-02,AAPL,BUY,52.66525602722167,15.0,1.0,,
2019-10-28,MSFT,EXIT,136.02183271484375,,,15.590838658737557,TAKE PROFIT
2019-11-01,AAPL,EXIT,61.43262226257324,,,16.740736391676236,TAKE PROFIT
2019-11-15,GOOGL,EXIT,66.07753540649414,,,15.390693740659648,TAKE PROFIT
2019-11-21,GOOGL,BUY,64.52570802612304,15.0,1.0,,
2019-11-26,TSLA,BUY,21.945541896057126,15.0,1.0,,
2019-12-03,AAPL,BUY,62.591449301147456,15.0,1.0,,
2019-12-03,MSFT,BUY,141.55736923828124,15.0,1.0,,
2019-12-16,TSLA,EXIT,25.412985777282714,,,15.892934262912037,TAKE PROFIT
2020-01-02,AAPL,EXIT,72.34259990844727,,,15.671583152460652,TAKE PROFIT
2020-01-30,MSFT,EXIT,163.54686842041016,,,15.626485254490063,TAKE PROFIT
2020-01-31,AAPL,BUY,74.66827604370117,15.0,1.0,,
2020-02-10,GOOGL,EXIT,74.7547997680664,,,15.945494869997123,TAKE PROFIT
2020-02-21,GOOGL,BUY,73.62382390136717,15.0,1.0,,
2020-02-27,AAPL,EXIT,66.03665169677734,,,-11.489153336352091,STOP LOSS
2020-02-27,GOOGL,EXIT,65.15638265991211,,,-11.430096884303758,STOP LOSS
2020-03-02,MSFT,BUY,164.26564584960937,15.0,1.0,,
2020-03-04,AAPL,BUY,73.20835354614258,15.0,1.0,,
2020-03-09,AAPL,EXIT,64.26211726074219,,,-12.149959669973859,STOP LOSS
2020-03-09,MSFT,EXIT,142.96047596435545,,,-12.90026884618603,STOP LOSS
2020-05-26,MSFT,BUY,173.09327420654296,15.0,1.0,,
2020-06-11,GOOGL,BUY,69.57604022827148,15.0,1.0,,
2020-07-06,MSFT,EXIT,200.5421660888672,,,15.950622109092771,TAKE PROFIT
2020-07-16,MSFT,BUY,194.39984135742185,15.0,1.0,,
2020-07-23,AAPL,BUY,90.04994104614256,15.0,1.0,,
2020-08-03,AAPL,EXIT,105.48904278564453,,,17.23883476260918,TAKE PROFIT
2020-08-05,TSLA,BUY,99.0805362121582,15.0,1.0,,
2020-08-11,TSLA,EXIT,91.55269865112305,,,-7.523714592654629,STOP LOSS
2020-08-26,GOOGL,EXIT,81.46740481567383,,,17.184925518771106,TAKE PROFIT
2020-09-04,GOOGL,BUY,78.47515211791992,15.0,1.0,,
2020-09-09,AAPL,BUY,113.99325183105468,15.0,1.0,,
2020-09-18,AAPL,EXIT,103.64447317504883,,,-9.005617900179821,STOP LOSS
2020-09-18,GOOGL,EXIT,71.90217189331055,,,-8.302516474349746,STOP LOSS
2020-09-28,AAPL,BUY,111.70018196411132,15.0,1.0,,
2020-12-09,GOOGL,BUY,88.23485335693358,15.0,1.0,,
2020-12-28,AAPL,EXIT,132.83047915039063,,,19.012186261248125,TAKE PROFIT
2021-01-28,MSFT,EXIT,228.55771483154297,,,17.66506896314811,TAKE PROFIT
2021-01-29,TSLA,BUY,264.72161777343746,15.0,1.0,,
